frame_no,joint_name,x_cm,y_cm,z_cm
935,left_elbow,129.81,28.04,-47.42
936,left_elbow,127.1,29.93,-36.81
937,left_elbow,126.78,32.76,-21.1
938,left_elbow,124.08,35.49,-16.05
939,left_elbow,125.01,35.58,-22.26
940,left_elbow,125.4,37.83,-28.56
941,left_elbow,125.44,39.05,-30.96
942,left_elbow,125.42,39.86,-32.35
943,left_elbow,117.61,56.27,-22.7
944,left_elbow,116.26,58.27,-20.42
945,left_elbow,118.19,54.0,-22.25
946,left_elbow,117.26,64.17,-6.15
947,left_elbow,117.39,65.32,-14.05
948,left_elbow,117.6,64.96,-14.67
949,left_elbow,117.32,70.12,14.05
950,left_elbow,116.85,72.61,0.16
951,left_elbow,117.01,73.82,-32.75
952,left_elbow,117.24,74.69,-31.89
953,left_elbow,117.43,74.96,-33.4
954,left_elbow,117.56,75.14,-33.09
955,left_elbow,118.36,77.81,-27.3
956,left_elbow,118.77,78.56,-23.64
957,left_elbow,119.03,79.15,-20.01
958,left_elbow,120.43,76.85,-20.25
959,left_elbow,120.5,76.5,-20.78
960,left_elbow,120.54,76.39,-20.16
961,left_elbow,122.02,75.88,-20.44
962,left_elbow,122.51,75.51,-20.04
963,left_elbow,122.64,75.31,-23.35
964,left_elbow,124.02,75.08,-13.27
965,left_elbow,124.58,74.95,-10.91
966,left_elbow,124.97,74.84,-10.49
967,left_elbow,126.07,74.64,-47.19
968,left_elbow,126.44,74.37,-46.41
969,left_elbow,126.51,74.21,-44.59
970,left_elbow,126.76,73.75,-38.78
971,left_elbow,126.88,73.43,-36.2
972,left_elbow,126.91,73.25,-35.6
973,left_elbow,126.81,70.96,-35.41
974,left_elbow,126.74,69.78,-33.14
975,left_elbow,126.41,69.51,-32.96
976,left_elbow,126.53,70.36,-51.04
977,left_elbow,126.54,70.77,-52.59
978,left_elbow,126.54,71.1,-53.21
979,left_elbow,126.86,71.39,-111.82
980,left_elbow,126.97,71.48,-121.07
981,left_elbow,127.16,71.54,-108.94
982,left_elbow,125.39,72.07,-67.33
983,left_elbow,124.7,72.47,-59.03
984,left_elbow,124.38,72.75,-58.98
985,left_elbow,124.4,70.72,-77.1
986,left_elbow,124.14,70.11,-77.18
987,left_elbow,124.73,68.9,-82.23
988,left_elbow,124.74,68.91,-66.17
989,left_elbow,124.77,68.88,-79.18
990,left_elbow,124.78,68.88,-89.7
991,left_elbow,125.52,69.46,-91.03
992,left_elbow,125.87,69.65,-90.22
993,left_elbow,126.19,69.73,-93.23
994,left_elbow,127.14,73.7,-114.42
995,left_elbow,127.65,75.06,-118.6
996,left_elbow,127.93,75.71,-121.12
997,left_elbow,127.88,74.09,-54.49
998,left_elbow,127.61,70.79,-50.1
999,left_elbow,127.41,69.37,-48.51
1000,left_elbow,129.06,65.8,-142.0
1001,left_elbow,129.79,64.33,-126.8
1002,left_elbow,129.81,64.04,-117.08
1003,left_elbow,127.82,62.69,-72.76
1004,left_elbow,126.91,62.02,-67.34
1005,left_elbow,126.44,61.77,-67.87
1006,left_elbow,126.47,67.26,-118.65
1007,left_elbow,126.5,69.19,-122.66
1008,left_elbow,126.52,69.97,-118.69
1009,left_elbow,125.4,69.83,-76.5
1010,left_elbow,124.66,69.77,-68.62
1011,left_elbow,124.36,69.67,-71.41
1012,left_elbow,124.32,70.51,-74.6
1013,left_elbow,124.27,70.86,-65.98
1014,left_elbow,124.31,71.03,-67.15
1015,left_elbow,124.07,70.28,-25.68
1016,left_elbow,123.65,69.97,-17.86
1017,left_elbow,123.55,69.92,-21.29
1018,left_elbow,123.94,71.11,-82.95
1019,left_elbow,124.3,71.69,-80.1
1020,left_elbow,124.82,72.02,-79.39
1021,left_elbow,125.69,71.91,-75.37
1022,left_elbow,126.24,71.89,-69.08
1023,left_elbow,126.39,72.59,-63.27
1024,left_elbow,126.26,73.11,-111.49
1025,left_elbow,126.22,73.56,-111.57
1026,left_elbow,126.19,73.94,-105.39
1027,left_elbow,125.14,74.78,-99.57
1028,left_elbow,124.99,75.91,-100.94
1029,left_elbow,125.0,75.95,-104.28
1030,left_elbow,124.7,76.07,-81.31
1031,left_elbow,124.55,76.12,-81.26
1032,left_elbow,124.45,76.04,-79.8
1033,left_elbow,124.46,75.98,-90.62
1034,left_elbow,124.47,75.95,-100.15
1035,left_elbow,124.48,75.91,-98.06
1036,left_elbow,124.7,76.44,-73.91
1037,left_elbow,124.78,76.86,-68.52
1038,left_elbow,124.8,77.49,-54.0
1039,left_elbow,124.72,77.41,-84.64
1040,left_elbow,124.51,77.38,-90.46
1041,left_elbow,124.36,77.23,-93.34
1042,left_elbow,124.37,76.6,-92.03
1043,left_elbow,124.37,76.06,-90.51
1044,left_elbow,124.37,75.63,-79.17
1045,left_elbow,124.04,75.36,-111.28
1046,left_elbow,123.87,73.24,-100.29
1047,left_elbow,123.67,71.97,-94.73
1048,left_elbow,122.19,68.21,-43.37
1049,left_elbow,121.74,66.97,-40.72
1050,left_elbow,121.56,66.66,-53.79
1051,left_elbow,121.63,67.32,-33.69
1052,left_elbow,121.71,67.63,-28.59
1053,left_elbow,121.77,67.85,-31.75
1054,left_elbow,121.15,65.9,-62.37
1055,left_elbow,121.23,66.04,-93.11
1056,left_elbow,121.26,66.2,-103.87
1057,left_elbow,121.22,64.89,-21.7
1058,left_elbow,121.09,62.91,-11.36
1059,left_elbow,121.09,63.23,-10.98
1060,left_elbow,121.11,64.79,1.4
1061,left_elbow,121.13,65.66,0.82
1062,left_elbow,121.14,66.33,0.01
1063,left_elbow,121.23,66.26,-12.26
1064,left_elbow,121.31,66.21,-14.39
1065,left_elbow,121.35,66.19,-15.33
1066,left_elbow,122.26,66.2,-49.3
1067,left_elbow,122.43,66.24,-42.25
1068,left_elbow,122.9,66.25,-41.04
1069,left_elbow,122.34,65.44,-28.24
1070,left_elbow,122.35,64.68,-28.37
1071,left_elbow,121.86,64.43,-23.27
1072,left_elbow,121.06,64.47,6.28
1073,left_elbow,120.41,64.5,10.74
1074,left_elbow,120.07,64.52,11.69
1075,left_elbow,119.76,66.52,11.39
1076,left_elbow,119.48,66.52,10.38
1077,left_elbow,119.36,66.53,5.37
1078,left_elbow,122.05,67.78,-104.02
1079,left_elbow,123.2,68.44,-109.12
1080,left_elbow,123.9,68.66,-115.14
1081,left_elbow,124.74,70.13,-85.12
1082,left_elbow,125.01,70.86,-84.27
1083,left_elbow,125.14,71.27,-88.16
1084,left_elbow,124.98,71.04,-105.54
1085,left_elbow,124.86,70.75,-120.97
1086,left_elbow,124.8,70.4,-122.85
1087,left_elbow,124.77,74.2,-104.13
1088,left_elbow,124.66,75.24,-90.07
1089,left_elbow,124.63,75.14,-75.86
1090,left_elbow,124.42,73.12,-63.29
1091,left_elbow,124.36,72.81,-71.4
1092,left_elbow,124.31,72.65,-74.42
1093,left_elbow,123.24,72.79,-51.27
1094,left_elbow,122.7,73.33,-75.44
1095,left_elbow,122.5,73.4,-73.72
1096,left_elbow,121.96,73.34,-32.13
1097,left_elbow,121.25,73.27,-25.0
1098,left_elbow,120.78,73.17,-33.08
1099,left_elbow,120.44,72.84,-82.97
1100,left_elbow,120.51,73.09,-95.11
1101,left_elbow,120.43,74.75,-88.9
1102,left_elbow,119.55,75.25,-53.73
1103,left_elbow,119.1,76.54,-58.53
1104,left_elbow,119.09,77.49,-68.04
1105,left_elbow,118.3,77.34,-27.79
1106,left_elbow,117.97,77.11,-21.66
1107,left_elbow,117.87,77.06,-32.75
1108,left_elbow,117.96,76.95,-60.64
1109,left_elbow,117.96,76.99,-58.97
1110,left_elbow,118.01,77.49,-75.68
1111,left_elbow,118.04,76.94,-92.3
1112,left_elbow,118.07,76.65,-93.63
1113,left_elbow,118.09,76.42,-97.07
1114,left_elbow,118.09,76.24,-86.96
1115,left_elbow,118.09,76.13,-85.71
1116,left_elbow,118.1,76.09,-86.25
1117,left_elbow,118.5,76.61,-78.15
1118,left_elbow,118.77,76.87,-75.33
1119,left_elbow,118.92,77.04,-74.94
1120,left_elbow,118.55,76.6,-71.32
1121,left_elbow,118.34,76.32,-71.61
1122,left_elbow,118.19,76.08,-71.87
1123,left_elbow,118.1,75.74,-72.12
1124,left_elbow,117.99,75.48,-84.15
1125,left_elbow,117.94,75.2,-82.43
1126,left_elbow,117.98,75.67,-96.97
1127,left_elbow,118.04,75.92,-100.25
1128,left_elbow,118.08,76.1,-98.41
1129,left_elbow,117.77,75.61,-43.36
1130,left_elbow,117.6,75.4,-42.56
1131,left_elbow,117.47,75.2,-43.54
1132,left_elbow,117.47,75.15,-100.04
1133,left_elbow,117.48,75.07,-103.19
1134,left_elbow,117.48,74.98,-103.32
1135,left_elbow,117.37,74.55,-98.21
1136,left_elbow,117.31,74.37,-93.4
1137,left_elbow,117.23,74.28,-91.59
1138,left_elbow,116.95,74.26,-89.68
1139,left_elbow,116.82,74.58,-84.86
1140,left_elbow,116.73,74.68,-76.66
1141,left_elbow,116.06,73.91,-68.82
1142,left_elbow,115.78,73.63,-70.34
1143,left_elbow,115.79,72.58,-58.23
1144,left_elbow,115.74,73.09,-72.84
1145,left_elbow,115.69,73.29,-71.42
1146,left_elbow,115.7,73.6,-85.56
1147,left_elbow,115.47,73.05,-53.19
1148,left_elbow,115.37,72.8,-52.44
1149,left_elbow,114.86,72.9,-37.04
1150,left_elbow,114.88,72.91,-35.16
1151,left_elbow,114.89,72.94,-33.34
1152,left_elbow,114.9,72.98,-37.12
1153,left_elbow,114.85,74.13,-38.32
1154,left_elbow,114.82,74.75,-40.12
1155,left_elbow,114.8,75.31,-37.79
1156,left_elbow,114.63,75.28,-81.03
1157,left_elbow,114.54,75.26,-79.76
1158,left_elbow,114.53,75.6,-79.44
1159,left_elbow,114.55,75.84,-77.17
1160,left_elbow,114.6,76.73,-81.73
1161,left_elbow,114.61,77.2,-83.26
1162,left_elbow,114.66,77.5,-82.03
1163,left_elbow,114.68,77.74,-78.96
1164,left_elbow,114.68,77.85,-77.24
1165,left_elbow,115.22,77.49,-70.72
1166,left_elbow,115.54,77.16,-68.72
1167,left_elbow,115.69,76.9,-64.9
1168,left_elbow,115.65,77.58,-92.45
1169,left_elbow,115.61,77.87,-96.55
1170,left_elbow,115.54,77.89,-98.25
1171,left_elbow,115.36,77.16,-91.03
1172,left_elbow,115.23,76.63,-90.2
1173,left_elbow,115.16,76.37,-87.91
1174,left_elbow,115.16,76.26,-85.29
1175,left_elbow,115.18,76.25,-84.82
1176,left_elbow,115.19,76.24,-84.55
1177,left_elbow,115.19,76.33,-92.79
1178,left_elbow,115.19,76.38,-93.41
1179,left_elbow,115.19,76.41,-96.85
1180,left_elbow,115.49,76.53,-94.74
1181,left_elbow,115.65,76.62,-93.19
1182,left_elbow,115.73,76.67,-92.72
1183,left_elbow,115.65,76.5,-75.14
1184,left_elbow,115.56,76.4,-77.66
1185,left_elbow,115.5,76.31,-79.62
1186,left_elbow,115.51,73.93,-77.1
1187,left_elbow,115.5,72.79,-72.98
1188,left_elbow,115.57,72.88,-81.08
1189,left_elbow,115.88,71.09,-84.68
1190,left_elbow,116.28,70.53,-84.49
1191,left_elbow,116.4,70.21,-83.57
1192,left_elbow,117.04,71.01,-80.49
1193,left_elbow,117.3,71.49,-80.01
1194,left_elbow,117.47,71.79,-79.44
1195,left_elbow,117.87,72.47,-74.62
1196,left_elbow,118.06,72.79,-71.02
1197,left_elbow,118.12,72.86,-69.93
1198,left_elbow,119.49,72.82,-95.39
1199,left_elbow,120.22,72.72,-110.64
1200,left_elbow,120.72,72.68,-119.08
1201,left_elbow,121.4,72.69,-106.71
1202,left_elbow,121.53,72.79,-101.38
1203,left_elbow,121.67,73.16,-99.35
1204,left_elbow,121.73,73.3,-112.72
1205,left_elbow,121.73,73.35,-106.96
1206,left_elbow,121.69,72.42,-105.79
1207,left_elbow,123.34,71.06,-104.5
1208,left_elbow,124.02,70.96,-115.41
1209,left_elbow,124.33,70.94,-131.74
1210,left_elbow,125.39,70.82,-121.12
1211,left_elbow,125.88,70.2,-137.01
1212,left_elbow,126.0,70.17,-128.24
1213,left_elbow,125.79,68.78,-134.38
1214,left_elbow,125.72,68.6,-128.57
1215,left_elbow,125.68,68.26,-136.06
1216,left_elbow,125.61,67.69,-135.13
1217,left_elbow,125.55,67.42,-125.96
1218,left_elbow,125.51,67.19,-125.82
1219,left_elbow,125.48,67.2,-137.78
1220,left_elbow,125.27,67.31,-132.75
1221,left_elbow,125.25,67.47,-124.12
1222,left_elbow,125.22,67.47,-146.98
1223,left_elbow,124.98,67.67,-141.95
1224,left_elbow,125.01,67.68,-137.16
1225,left_elbow,123.5,65.17,-135.49
1226,left_elbow,122.88,64.19,-121.45
1227,left_elbow,122.68,63.69,-110.06
1228,left_elbow,122.44,59.53,-94.53
1229,left_elbow,122.4,58.35,-85.54
1230,left_elbow,122.43,58.08,-63.94
1231,left_elbow,121.33,54.75,-46.98
1232,left_elbow,121.43,51.07,-45.65
1233,left_elbow,121.47,51.23,-56.87
1234,left_elbow,116.74,52.62,-35.37
1235,left_elbow,115.33,53.39,-35.38
1236,left_elbow,114.85,53.79,-33.32
1237,left_elbow,114.75,54.0,-7.01
1238,left_elbow,114.63,54.18,-6.55
1239,left_elbow,114.51,54.37,-5.82
1240,left_elbow,114.61,54.41,-3.48
1241,left_elbow,114.68,54.43,-8.53
1242,left_elbow,114.76,54.44,-7.25
1243,left_elbow,111.77,55.45,-5.68
1244,left_elbow,110.79,56.01,-5.86
1245,left_elbow,110.36,56.42,-3.19
1246,left_elbow,110.61,56.86,-5.29
1247,left_elbow,110.73,57.08,-3.87
1248,left_elbow,110.8,57.27,-2.89
1249,left_elbow,110.78,57.28,4.13
1250,left_elbow,110.42,57.29,11.82
1251,left_elbow,110.08,57.32,12.56
1252,left_elbow,110.11,57.36,7.8
1253,left_elbow,110.12,57.44,6.21
1254,left_elbow,110.17,57.49,6.0
1255,left_elbow,109.84,56.11,8.1
1256,left_elbow,109.66,55.5,6.67
1257,left_elbow,109.49,55.21,3.38
1258,left_elbow,117.67,55.4,-18.52
1259,left_elbow,119.18,55.55,-31.78
1260,left_elbow,119.27,54.95,-34.26
1261,left_elbow,119.48,52.46,-45.42
1262,left_elbow,119.55,51.61,-48.96
1263,left_elbow,119.6,51.34,-46.94
1264,left_elbow,126.67,45.02,-62.5
1265,left_elbow,126.7,38.35,-56.95
1266,left_elbow,126.64,36.85,-54.35
1267,left_elbow,129.1,40.29,-90.0
1268,left_elbow,129.09,43.66,-90.9
1269,left_elbow,128.73,45.92,-81.43
1270,left_elbow,129.54,47.22,-86.84
1271,left_elbow,129.14,48.65,-109.39
1272,left_elbow,128.89,50.83,-109.39
1273,left_elbow,126.16,50.91,-67.81
1274,left_elbow,124.94,51.07,-67.06
1275,left_elbow,124.35,51.25,-69.06
1276,left_elbow,129.69,50.36,-98.64
1277,left_elbow,131.8,49.71,-92.08
1278,left_elbow,131.33,50.09,-99.3
1279,left_elbow,131.25,48.81,-91.7
1280,left_elbow,131.05,47.84,-72.58
1281,left_elbow,130.78,47.3,-70.2
1282,left_elbow,124.15,51.31,-72.32
1283,left_elbow,124.33,51.34,-74.09
1284,left_elbow,124.34,51.29,-80.86
1285,left_elbow,124.5,51.43,-77.12
1286,left_elbow,126.14,50.9,-84.58
1287,left_elbow,128.07,47.5,-84.12
1288,left_elbow,128.07,49.75,-68.34
1289,left_elbow,130.36,50.12,-68.83
1290,left_elbow,130.24,56.1,-58.43
1291,left_elbow,124.96,55.8,-59.2
1292,left_elbow,123.34,55.61,-57.68
1293,left_elbow,122.95,55.48,-58.58
1294,left_elbow,122.4,55.25,-66.03
1295,left_elbow,122.17,55.19,-66.2
1296,left_elbow,122.06,55.11,-64.37
1297,left_elbow,122.28,53.44,-45.74
1298,left_elbow,122.43,52.71,-43.68
1299,left_elbow,122.53,52.21,-46.56
1300,left_elbow,122.61,49.87,-37.72
1301,left_elbow,122.67,48.86,-33.42
1302,left_elbow,120.72,50.75,-28.87
1303,left_elbow,120.94,52.68,-32.69
1304,left_elbow,121.08,54.19,-40.21
1305,left_elbow,121.19,54.68,-46.95
1306,left_elbow,121.21,54.44,-49.96
1307,left_elbow,120.99,54.96,-49.75
1308,left_elbow,121.29,55.4,-38.5
1309,left_elbow,120.24,56.43,-63.22
1310,left_elbow,120.18,57.59,-76.85
1311,left_elbow,119.99,57.73,-112.06
1312,left_elbow,120.05,65.08,-98.91
1313,left_elbow,120.11,65.37,-98.44
1314,left_elbow,120.08,65.78,-102.85
1315,left_elbow,120.07,65.93,-92.57
1316,left_elbow,120.69,65.62,-98.24
1317,left_elbow,121.12,66.51,-92.91
1318,left_elbow,121.1,73.4,-98.72
1319,left_elbow,121.45,73.81,-93.42
1320,left_elbow,121.72,72.22,-93.26
1321,left_elbow,122.08,71.32,-88.2
1322,left_elbow,122.44,70.81,-94.61
1323,left_elbow,122.55,70.47,-98.55
1324,left_elbow,122.47,73.07,-99.73
1325,left_elbow,122.27,73.68,-102.27
1326,left_elbow,122.13,74.39,-105.84
1327,left_elbow,120.91,75.08,-32.67
1328,left_elbow,120.34,75.74,-33.53
1329,left_elbow,120.07,75.83,-39.56
1330,left_elbow,119.96,75.95,-46.37
1331,left_elbow,119.35,77.81,-79.2
1332,left_elbow,119.07,78.73,-86.11
1333,left_elbow,118.78,80.7,-114.94
1334,left_elbow,118.76,81.78,-118.25
1335,left_elbow,118.77,82.85,-118.11
1336,left_elbow,116.58,85.64,-109.04
1337,left_elbow,115.85,86.75,-105.96
1338,left_elbow,115.43,87.22,-105.6
1339,left_elbow,116.39,87.4,-109.29
1340,left_elbow,117.46,87.9,-94.96
1341,left_elbow,118.91,88.73,-95.61
1342,left_elbow,117.32,91.07,-71.01
1343,left_elbow,116.58,92.05,-72.92
1344,left_elbow,116.14,92.51,-66.92
1345,left_elbow,115.09,93.29,-43.44
1346,left_elbow,114.47,93.62,-35.82
1347,left_elbow,114.18,93.63,-22.42
1348,left_elbow,112.17,93.23,-13.65
1349,left_elbow,111.41,92.97,-11.82
1350,left_elbow,111.09,92.77,-13.03
1351,left_elbow,110.94,92.63,-11.55
1352,left_elbow,111.18,92.55,-34.56
1353,left_elbow,111.31,92.51,-41.06
1354,left_elbow,110.97,92.87,-40.52
1355,left_elbow,110.68,93.13,-40.41
1356,left_elbow,110.5,93.16,-41.08
1357,left_elbow,110.52,93.4,-43.68
1358,left_elbow,110.61,93.4,-43.0
1359,left_elbow,110.68,93.38,-45.81
1360,left_elbow,110.72,93.23,-45.14
1361,left_elbow,110.75,93.22,-45.18
1362,left_elbow,110.77,93.21,-42.96
1363,left_elbow,110.83,93.26,-33.0
1364,left_elbow,110.86,93.28,-32.92
1365,left_elbow,110.88,93.29,-32.22
1366,left_elbow,110.89,93.46,-27.16
1367,left_elbow,110.9,93.63,-25.8
1368,left_elbow,110.9,93.78,-25.13
1369,left_elbow,110.91,93.93,-30.41
1370,left_elbow,110.93,94.06,-33.96
1371,left_elbow,110.94,94.15,-35.07
1372,left_elbow,110.94,94.21,-35.79
1373,left_elbow,111.2,94.46,-25.21
1374,left_elbow,111.31,94.58,-23.25
1375,left_elbow,111.4,94.67,-29.65
1376,left_elbow,111.47,94.71,-32.89
1377,left_elbow,111.52,94.74,-33.82
1378,left_elbow,111.53,94.76,-38.3
1379,left_elbow,111.53,94.77,-43.06
1380,left_elbow,111.53,94.79,-42.55
1381,left_elbow,111.6,95.24,-48.54
1382,left_elbow,111.64,95.24,-45.29
1383,left_elbow,111.68,95.25,-43.85
1384,left_elbow,111.69,95.41,-44.42
1385,left_elbow,111.7,95.5,-45.57
1386,left_elbow,111.71,95.59,-46.42
1387,left_elbow,111.92,95.74,-56.37
1388,left_elbow,112.07,95.85,-57.13
1389,left_elbow,112.18,95.94,-58.11
1390,left_elbow,112.1,95.72,-55.42
1391,left_elbow,112.15,95.74,-72.34
